Place,Name,Address
Bus Interchange, AMK Bus Interchange,53 Ang Mo Kio Avenue 3  S(569933)
Bus Interchange, Bishan Bus Interchange,514 Bishan Street 13  S(570514)
Bus Interchange, Harbourfront Bus Terminal,4 Seah Im Road  S(099115)
Bus Interchange, Kampong Bahru Bus Terminal,11A Spooner Road  S(168795)
Bus Interchange, Kent Ridge Bus Terminal,37B  Clementi Road  S(884005)
Bus Interchange, Queens Street Bus Terminal,Queens Street Bus Terminal  S(884001)
Bus Interchange, Shenton Way Bus Terminal,31 Shenton Way  S(079121)
Bus Interchange, St. Michael's Bus Terminal,10 Whampoa Road  S(327691)
Club, Seletar Country Club,101 Seletar Club Road  S(798273)
Coffeeshop, CCMW ,Blk 1 Cantonment Road  S(080001)
Coffeeshop,CCMW ,Blk 803 King George's Avenue  S(200803)
Coffeeshop, CCMW Food House,Blk 40 Holland Drive #01-39  S (270040)
Coffeeshop, CCMW Queen Street,Blk 269 Queen Street  #01-236  S(180269)
Coffeeshop,CCMW Toa Payoh Central,Blk 78C Toa Payoh Central  S(313078)
Coffeeshop,Chang Cheng Mee Wah Restaurant,Blk 111 Toa Payoh Lorong 1  #01-366  S(310111)
Coffeeshop,CMW Redhill Food House,Blk 75D  Redhill Road  #01-94  S(154075)
Coffeeshop, NTUC Foodfare Anchorvale,Blk 308 Anchorvale Road #01-07 S(540308)
Foodcourt, Kuofu Foodcourt ,Blk 88 Tanglin Halt  S(141088)
Foodcourt, NTUC Foodfare Court@Clifford Centre,Clifford Centre  24 Raffles Place  S(048621)
Foodcourt, The Gallerie Foodcourt ,Marina Sq  6 Raffles Boulevard #04-101/102  S(039594)
Government Office, Health Sciences Authority,11 Outram Road  S(169078)
Government Office, Maritime and Port Authority of Singapore,460 Alexandra Road  #18-00  S(119963)
Government Office, Ministry of Social & Family Development (MSF),512 Thomson Rd  Level 1  5 & 17  S(298136)
Government Office, Ministry of the Environment & Water Resources  Environment Building,40  Scotts Road  Level 1-4  S(228231)
Government Office, National Environment Agency  Environment Building,40  Scotts Road  Level 6/11/12/19/20/21  S(228231)
Government Office, PSA Tanjong Pagar Complex,7B Keppel Road  #19 - #21  S(089054)
Government Office, PSA Vista,20 Harbour Drive  #08-00  S(117612)
Hospital, Sengkang General Hospital,110 Sengkang East Way  S(544886)
Hospital, Tan Tock Seng Hospital,11 Jalan Tan Tock Seng  S(308433)
Library, National Library,100 Victoria Street  S(188064)
Market & Food Centre, Adam Road Food Centre,2 Adam Road  S(289876)
Market & Food Centre, Amoy Food Centre,National Development Building (Annex B) Telok Ayer Street  S(069111)
Market & Food Centre, Beo Crescent Market & Food Centre,38A Beo Crescent  S(169982)
Market & Food Centre, Berseh Food Centre,166 Jalan Besar  S(208877)
Market & Food Centre, Bukit Timah Market & Food Centre ,51 Upper Bukit Timah Road  S(588215)
Market & Food Centre, Commonwealth Crescent Market,31 Commonwealth Crescent  S(149644)
Market & Food Centre, Golden Mile Food Centre,505 Beach Road  S(199583)
Market & Food Centre, Market Street Food Centre,50  Market Street  Golden Shoe Multi-Storey Car Park  2nd/3rd Storey  S(048940)
Market & Food Centre, Maxwell Food Centre,1 Kadayanallur Street  S(069184)
Market & Food Centre, Newton Food Centre,500 Clemenceau Ave North  S(229495)
Market & Food Centre, North Bridge Road Market & Food Centre,861 North Bridge Road  S(198783)
Market & Food Centre, Sembawang Hill Food Centre,590 Upper Thomson Road  S(574419)
Market & Food Centre, Tanglin Halt Market,48A  Tanglin Halt Road  S(148813)
Market & Food Centre, Tiong Bahru Market,30 Seng Poh Road  S(168898)
Market & Food Centre, Zion Riverside Food Centre,70 Zion Road  S(247792)
MRT Station, Ang Mo Kio MRT station,2450 Ang Mo Kio Avenue 8  S(569811)
