Place,Name,Address
Bus Interchange, Bukit Panjang Intergrated Transport Hub,15 Petir Road  S(678270)
Bus Interchange, Sembawang Bus Interchange,11A  Sembawang Vista  S(757527)
Bus Interchange, Woodlands Temporary Bus Interchange,3A Woodlands Square  S(727735)
Bus Interchange, Yishun Temporary Bus Interchange,20A Yishun Central  S(768830)
Coffeeshop,New Century Cafe,Blk 19 Ghim Moh Road  #01-263  S(270019)
Coffeeshop, NTUC Foodfare,507 Yishun Avenue 4  S(760507)
Coffeeshop, NTUC Foodfare@29A Ghim Moh Link,29A Ghim Moh Link  #01-06  S(271029)
Food Court, Chang Cheng Mee Wah Foodcourt,27 Woodlands Link  #01-01 Chang Cheng HQ  S(738732)
Food Court, NTUC Foodfare KTPH,90 Yishun Central  S(768828)
Food Court, Viva Foodcourt,Blk 548 Woodlands Drive 44  #02-34  S(730548)
Foodcourt, Koufu Foodcourt@Fajar,445 Fajar Road  #01-548  S(670445)
Market & Food Centre, Bukit Panjang Hawker Centre,259 Bukit Panjang Ring Road  S(671259)
Market & Food Centre, Holland Village Market & Food Centre,1 Lorong Mambong  S(277700)
Market & Food Centre, Yishun Park Hawker Centre,51 Yishun Avenue 11  S(768867)
MRT Station, Admiralty MRT Station,70 Woodlands Avenue  S(738344)
MRT Station, Kranji MRT Station,960 Woodlands Road  S(738702)
MRT Station, Marsiling MRT Station,71 Woodlands Avenue 3  S(739044)
MRT Station, Woodlands MRT Station,30 Woodlands Avenue  S(738343)
MRT Station, Yew Tee MRT Station,61 Choa Chu Kang Drive  S(689715)
Shopping Centre, 888 Plaza,Blk 888  Woodlands Drive 50  S(731888)
Shopping Centre, Admiralty Place,Blk 678 Woodlands Avenue 6  S(730678)
Shopping Centre, Fajar Shopping Centre,445 Fajar Road  Level 1 & 2  S(670445)
Shopping Centre, Sembawang Mart,Blk 511 Canberra Road  S(750511)
Shopping Centre, Vista Point,Blk 548 Woodlands Drive 44  S(730548)
