Place,Name,Address
Bus Interchange, Bedok Bus Interchange,12 BedokNorth Drive  S(465492)
Bus Interchange, Changi Business Park Bus Terminal,55 Changi South Avenue 1  S(485997)
Bus Interchange, Eunos Bus Interchange,409 Eunos Road 2  S(409388)
Bus Interchange, Serangoon Bus Interchange,20 Serangoon Avenue 2  S(556138)
Bus Interchange, Upper East Coast Bus Terminal,740 Upper East Coast Road  S(465549)
Coffeeshop,CCMW BD 211 Food House,Blk 211  Upper Changi Road  S(460211)
Coffeeshop, NTUC Foodfare Tampines,878C Tampines Avenue 8  S(523878)
Market & Food Centre, Bedok Food Centre,1 Bedok Road  S(469572)
Market & Food Centre, Dunman Food Centre,271 Onan Road  S(424768)
Market & Food Centre, East Coast Lagoon Food Village,1220 East Coast Parkway  S(468960)
Market & Food Centre, Geylang Serai Market,1 Geylang Serai  S(402001)
MRT Station, Aljunied MRT Station (EW9),81 Lorong 25 Geylang  S(388310)
MRT Station, Bartley MRT Station,212 Upper Paya Lebar  S(534881)
MRT Station, Bedok MRT Station,315 New Upper Changi Road  S(467347)
MRT Station, Bedok North MRT Station (DT29),315 Upper Changi Road  S(467347)
MRT Station, Dakota MRT Station,201 Airport Road  S(397973)
MRT Station, Expo MRT Station,21 Upper Changi South Avenue 1  S(486065)
MRT Station, Lorong Chuan MRT Station,150 Serangoon Avenue 3  S(554533)
MRT Station, Macpherson MRT Station (DT26),10 Circuit Link  S(378956)
MRT Station, Macpherson MRT Station CC10,171 Paya Lebar Rd  S(409048)
MRT Station, Mattar MRT Station (DT25),60 Merpati Road  S(379314)
MRT Station, Mountbatten MRT Station,301 Mountbatten Road  S(398006)
MRT Station, Paya Lebar MRT Station,30 Paya Lebar Road  S(409006)
MRT Station, Paya Lebar MRT Station CC09,30 Paya Lebar Road  S(409006)
MRT Station, Serangoon MRT Station CC13,600 Upper Serangoon Rd  S(534801)
MRT Station, Simei MRT Station,30 Simei Street 3  S(529888)
MRT Station, Stadium MRT Station,3 Stadium Walk  S(397692)
MRT Station, Tai Seng MRT Station CC11,33 Upper Paya Lebar Rd  S(534803)
MRT Station, Ubi MRT Station (DT27),51 Ubi Avenue 2  S(408899)
MRT Station, Upper Changi MRT Station,690 Upper Changi Road East  S(485990)
Private Office, Kah Engineering (1988) Pte Ltd,96B Jalan Senang  S(418482)
Shopping Centre, Joo Chiat Complex,1 Joo Chiat Road  S(420001)
