Place, Name, Address
Bus Interchange, Boon Lay Bus Interchange,87 Jurong West Central 3| S(648343)
Bus Interchange, Choa Chu Kang Bus Interchange ,301 Choa Chu Kang Central Avenue 3| S(689811)
Bus Interchange, Clementi Bus Interchange,441 Commonwealth Avenue West| S(120441)
Bus Interchange, Joo Koon Bus Interchange,55 Benoi Road| S(629907)
Bus Interchange, Tuas Bus Terminal,1 Tuas West Drive| S(638410)
Coffeeshop,CCMW Jurong West Street 41,Blk 498 Jurong West Street 41| #01-462| S(640498)
Coffeeshop, NTUC Foodfare Bukit Batok,296A Bukit Batok Street 22| S(651296)
Coffeeshop, NTUC Foodfare Choa Chu Kang,Blk 303| Choa Chu Kang Avenue 4| #01-723| S(680303)
Coffeeshop, NTUC Foodfare Jurong West,Blk 679 Jurong West Central| #01-02| S(640679)
Dormitory,Aspri-Westlite Construction Site,5 Jalan Papan Road| S(619396)
Dormitory,Megastone Holding Dormitory,42A Sungei Kadut Street 1| S(729347)
Dormitory, Unison Construction Dormitory,6 Tuas Basin Link| S(638760)
Foodcourt, Choa Chu Kang Crescent NTUC Foodfare ,Blk 673B Choa Chu Kang Crescent| S(682673)
Foodcourt, Kopitiam,1 Lower Kent Ridge Road| #05-01 One@Kent Ridge| S (119082)
Foodcourt, Kopitiam,5 Lower Kent Ridge Rd| #01-01| S(119074)
Foodcourt, Koufu Foodcourt,1 Bukit Batok Central Link| #04-01| Westmall| S(658713)
Foodcourt,Koufu Foodcourt,Blk 638A| Jurong West Street 61| #01-22| S(641638)
Government Office,JTC| Chemgallery at Oasis @ Sakra,3| Sakra Road| S(627878)
Government Office, Jurong Island Checkpoint,18 Jurong Pier Road| S(619618)
Industrial Complex, 47 Ayer Rajah Crescent,47 Ayer Rajah Crescent| S(139947)
Industrial Complex, 51 Ayer Rajah Crescent,51 Ayer Rajah Crescent| S(139948)
Industrial Complex, 51A Ayer Rajah Crescent,51A Ayer Rajah Crescent| S(139956)
Industrial Complex, 55 Ayer Rajah Crescent,55 Ayer Rajah Crescent| S(139949)
Industrial Complex, 67 Ayer Rajah Crescent,67 Ayer Rajah Crescent| S(139950)
Industrial Complex, 71 Ayer Rajah Crescent,71 Ayer Rajah Crescent| S(139951)
Industrial Complex, 73 Ayer Rajah Crescent,73 Ayer Rajah Crescent| S(139952)
Industrial Complex, 79 Ayer Rajah Crescent,79 Ayer Rajah Crescent| S(139955)
Industrial Complex, CleanTech One,CleanTech One| 1 Clean Tech Loop| S(637141)
Industrial Complex, CleanTech Two,3 Cleantech Loop| S(637143)
Industrial Complex, JTC Surface Engineering Hub,8 Buroh Street| S(627563)
Industrial Complex, Jurong Port Offshore Marine Centre,101 Tuas South Avenue| S(637423)
Market & Food Centre, Ayer Rajah Amenity Centre ,69 Ayer Rajah Crescent| S(139961)
Market & Food Centre, Jurong Port Road Food Centre ,29A Jurong Port Road| S(619112)
Market & Food Centre, Jurong West Hawker Centre,50 Jurong West Street 61| S(648202)
Market & Food Centre, Pasir Panjang Food Centre,121 Pasir Panjang Road| S(118543)
Market & Food Centre, Taman Jurong Market & Food Centre,3 Yung Sheng Road| S(618499)
Market & Food Centre, Timbre + Ayer Rajah Crescent Hawker Centre,73A Ayer Rajah Crescent| S(139957)
MRT Station, Buona Vista MRT station,301| South Buona Vista Road| S(118177)
MRT Station, Gul Circle Station,7A Tuas Road| S(637288)
MRT Station, Haw Par Villa MRT station,200| Holland Avenue| S(278995)
MRT Station, Kent Ridge MRT station,100| North Buona Vista Road| S(139345)
MRT Station, Labrador Park MRT station,100| Cluny Park Road| S(257494)
MRT Station, One North MRT station,9| Ayer Rajah Avenue| S(138647)
MRT Station, Pasir Panjang MRT station,71| Farrer Road| S(268857)
MRT Station, Telok Blangah MRT station,38| Toa Payoh Rise| S(298113)
MRT Station, Tuas Crescent MRT Station,90 Pioneer Road| S(639608)
MRT Station, Tuas Link MRT Station,20 Tuas West Drive| S(638418)
MRT Station, Tuas West MRT Station,131| Pioneer Road| S(639609)
Park, Jurong Eco Garden ,1 Cleantech Loop Singapore| S(637141)
Private Office, Samwoh Eco Green Building,51 Kranji Crescent| S(728661)
Shopping Centre, Depot Height Shopping Centre ,108 Depot Road| S(100108)
Shopping Centre, Gek Poh Shopping Centre,Blk 762| Jurong West Street 75| S(640762)
Shopping Centre, Greenridge Shopping Centre,524A Jelapang Road| S(671524)
Shopping Centre, Greenridge Shopping Centre,524A Jelapang Road| S(671524)
Shopping Centre, Jurong Point Shopping Centre,1 Jurong West Central 2| #03-07| Jurong Point Shopping Centre| S(648886)
Shopping Centre, Limbang Shopping Centre,532 Choa Chu Kang Street 51| S(680532)
Shopping Centre, Pasir Ris West Plaza,Blk 735| Pasir Ris Street 72| S(510735)
Shopping Centre, Pioneer Mall,638 Jurong West Street 61| S(640638)
Shopping Centre, Sunshine Place,475 Choa Chu Kang Avenue 3| S(680475)
Shopping Centre, Taman Jurong Shopping Centre,Blk 399 Yung Sheng Road (Near Party World/NTUC)
Shopping Centre, Yew Tee Square,624 Choa Chu Kang Street 62| S(680624)
